,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,BFSAndLevelsVec,,"['PTEN','TP53']
","['TP53','PTEN','RB1CC1']
","['PTK2','PTEN','TP53','EGFR']
","['PTK2','PTEN','TP53','EGFR','PIK3R1']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1','SPEN']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1','SPEN','PLCG2']
",,
1,BFSAndProbCoverAndComplement,,"['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTK2','PTEN','TP53','EGFR']
","['PTK2','PTEN','TP53','EGFR','PIK3R1']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1','SPEN']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1','SPEN','PLCG2']
",,
2,oldVersion,,"['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTK2','PTEN','TP53','EGFR']
","['TP53','PIK3R1','PTK2','PTEN','EGFR']
","['PIK3CA','TP53','PIK3R1','PTK2','PTEN','EGFR']
","['PIK3CA','PIK3R1','ESR1','DDX5','TP53','PTEN','EGFR']
","['PIK3CA','ZHX1','TP53','PIK3R1','PTK2','IDH1','PTEN','EGFR']
","['PIK3CA','PIK3R1','IDH1','ESR1','ZHX1','DDX5','TP53','PTEN','EGFR']
",
3,onlyBFS,,"['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTK2','PTEN','TP53','EGFR']
","['PTK2','PTEN','TP53','EGFR','PIK3R1']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1','SPEN']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1','SPEN','PLCG2']
",,
4,onlyBFSAndProbCover,,"['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTK2','PTEN','TP53','EGFR']
","['PTK2','PTEN','TP53','EGFR','PIK3R1']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1','SPEN']
","['PTK2','PTEN','TP53','EGFR','PIK3CA','PIK3R1','SPEN','PLCG2']
",,
