Metodo-k,1,2,3,4,5,6
,Time,Time,Time,Time,Time,Time
oldVersion,0m11.588s,0m15.902s,4m48.703s,403m10.665s,,
nobound numpy,0m11.003s,0m11.806s,0m51.901s,53m51.167s,,
nobound levelsVec,0m10.957s,0m11.942s,0m46.018s,39m55.561s,,
nobound_migliorato,0m11.092s,0m11.672s,0m43.167s,38m15.081s,3769m27.726s,
bound_min,0m16.856s,0m19.676s,0m45.778s,29m43.159s,,
bound_min_migliorato,0m17.769s,0m30.661s,1m13.891s,18m56.932s,,
bound_min_migliorato_optimized,0m18.408s,0m30.525s,1m8.990s,3m39.520s,,
bound_min_migliorato_iterations,0m18.590s,0m55.875s,2m12.413s,14m42.082s,,
bound_min_migliorato_iterations_optimized ,0m18.880s,0m54.854s,2m11.626s,5m28.265s,59m24.973s,
bound_order ,0m11.340s,0m11.435s,0m15.326s,2m22.579s,52m7.423s,
bound_order_optimized ,0m11.488s,0m11.404s,0m14.316s,0m29.257s,7m35.059s,278m56.169s
bound_means,,0m11.536s,0m38.633s,36m36.619s,,
bound_means_optimized,,0m11.576s,0m30.046s,9m58.977s,,
bound_means_iterations,,0m15.111s,0m18.842s,3m55.352s,386m29.405s,
bound_means_iterations_optimized ,,0m15.155s,0m18.974s,3m53.517s ,360m46.071s,
