,Metodo-k,1,2,3,4,5,6
0,,Time,Time,Time,Time,Time,Time
1,oldVersion,00:00:11,00:00:15,00:04:48,06:43:10,,
2,nobound numpy,00:00:11,00:00:11,00:00:51,00:53:51,,
3,nobound levelsVec,00:00:10,00:00:11,00:00:46,00:39:55,,
4,nobound_migliorato,00:00:11,00:00:11,00:00:43,00:38:15,62:49:27,
5,bound_min,00:00:16,00:00:19,00:00:45,00:29:43,,
6,bound_min_migliorato,00:00:17,00:00:30,00:01:13,00:18:56,,
7,bound_min_migliorato_optimized,00:00:18,00:00:30,00:01:8,00:03:39,,
8,bound_min_migliorato_iterations,00:00:18,00:00:55,00:02:12,00:14:42,,
9,bound_min_migliorato_iterations_optimized ,00:00:18,00:00:54,00:02:11,00:05:28,00:59:24,
10,bound_order ,00:00:11,00:00:11,00:00:15,00:02:22,00:52:7,
11,bound_order_optimized ,00:00:11,00:00:11,00:00:14,00:00:29,00:07:35,04:38:56
12,bound_means,,00:00:11,00:00:38,00:36:36,,
13,bound_means_optimized,,00:00:11,00:00:30,00:09:58,,
14,bound_means_iterations,,00:00:15,00:00:18,00:03:55,06:26:29,
15,bound_means_iterations_optimized ,,00:00:15,00:00:18,00:03:53,06:00:46,
